Species,Flight,Mass,Size_Low,Size_High,Width,Forewing_Len
Apis mellifera,13000,86.4,10,20,3.2,8.91
Melipona beecheii,5000,57.1,9,10,3.765,7.488
Melipona bicolor,2300,69.1,8,9,3.625,
Melipona compressipes,2470,,13,13,,3.25
Melipona eburnea,1699,,9.5,11,4.25,8.5
Melipona fasciata,2400,60,9,12,,8.2
Melipona fuliginosa,2000,125,13,15,4.593,9.2
Melipona grandis ,2631,,12,15,4.377,10.25
Melipona panamica,2400,70,10,10,,7.75
Melipona quadrifasciata,2000,82.85,8,10,2.747,2.9
Melipona scutellaris,2600,100,9.5,12,4.5,8.25
Melipona subnitida,3600,,7.5,8.5,3.75,
Nannotrigona perilampoides,600,,3,4,1.39,4.5
Partamona cupira,1710,,6.6,6.6,2.348,5.685
Scaptotrigona	pectoralis,1700,,4.9,6,2.327,5.3
Scaptotrigona postica,1710,18.5,4,5,,
Tetragonisca angustula,900,,4,5,1.372,
Trigona ferricauda,900,,6,6,,
Trigona fulviventris,2000,14.85,5.9,6.7,2.132,6.615
Trigona fuscipennis,1462,10.85,5,5.3,2.06,
Trigona nigerrima,1891,,7,9,2.222,
Trigona silvestriana,800,35.15,7,10,,
